job_skills,salary_year_avg
unreal,222500.0
openstack,212500.0
groovy,209000.0
hugging face,185500.0
graphql,171666.66666666666
centos,171000.0
neo4j,169410.11764705883
mongo,163098.13888888888
watson,158868.0
golang,158200.0
julia,156409.0909090909
macos,152250.0
selenium,150833.33333333334
scala,147842.5216064453
couchdb,147500.0
pandas,147154.31425957207
scikit-learn,147070.81756756757
node,146933.33333333334
cassandra,146099.08428030304
theano,145442.85714285713
shell,145287.69234913794
heroku,145000.0
numpy,144959.06944444444
bitbucket,144863.75
typescript,144214.2857142857
mxnet,144150.0
redshift,143886.40798611112
vmware,143625.0
kafka,143489.18547297298
pytorch,143282.75
dplyr,143259.0
airflow,142340.8320571192
tensorflow,142330.42075
spark,141550.5381272007
hadoop,141100.97062241734
puppet,140825.8
gitlab,140627.91579861112
datarobot,140390.0
atlassian,139307.6923076923
express,139244.3984375
nosql,138986.78164556963
flask,138607.23333333334
c,138565.92105263157
splunk,138463.24
aurora,138209.27272727274
aws,137935.96087239584
redis,137872.95
snowflake,137522.68501877683
ruby,135673.13235294117
powershell,135031.73076923078
react,134640.0
matplotlib,133976.98529411765
jupyter,133827.39024390245
kubernetes,133615.69016335226
linux,133072.26505335365
databricks,133015.1205267137
gcp,132950.9092987805
dynamodb,132929.41176470587
pyspark,132732.52485795456
python,132378.18064216647
opencv,132135.58333333334
plotly,132081.80386513157
keras,131974.8508254717
mysql,131827.45720108695
angular,131775.38888888888
gdpr,131500.0
fastapi,131380.25
java,131235.1937941696
jenkins,131158.94847074468
looker,131031.06190476191
c++,130806.43478260869
svn,130678.57142857143
azure,130034.87709548105
terraform,129863.61067708333
electron,129337.5
git,129231.34551056338
docker,128917.34545454546
solidity,128750.0
r,128126.73485716681
bash,128026.88888888889
go,127978.89450273722
github,126997.0990705819
nltk,126702.4
ruby on rails,126519.66666666667
elasticsearch,126384.94230769231
airtable,126018.75
php,125987.0703125
bigquery,125889.93333333333
mariadb,125500.0
sql,125281.33981759207
perl,124094.015625
postgresql,123177.64705882352
unix,122423.67267628205
confluence,122421.34782608696
mongodb,121828.59375
chef,121581.1
matlab,121577.38089488636
jira,120320.85245901639
unify,120302.625
spring,119804.92
ansible,119646.125
seaborn,118870.075
phoenix,118577.53333333334
couchbase,118000.0
kotlin,117500.0
ggplot2,116494.44444444444
slack,116400.0
oracle,116034.82514880953
fortran,115750.0
c#,115599.90178571429
flow,115583.14299242424
assembly,115506.0
no-sql,115460.0
redhat,115000.0
rshiny,115000.0
tableau,114357.86490819919
terminal,114162.70833333333
erlang,113500.0
rust,113376.33333333333
django,113020.21428571429
db2,112637.25240384616
ibm cloud,112275.875
windows,112203.66744791667
yarn,111880.0
sas,111575.59868706597
node.js,111281.88888888889
microstrategy,111065.90909090909
visio,110477.11538461539
chainer,110000.0
ubuntu,110000.0
ssis,109584.38985906863
sql server,109236.0944138072
t-sql,109019.69565217392
sheets,108221.07142857143
html,108092.18421052632
notion,107500.0
vue,107500.0
tidyverse,106964.3
qlik,105464.12215909091
sap,105184.67708333333
css,104905.83333333333
power bi,104707.90671502976
vba,103835.07142857143
javascript,103337.90144230769
dax,103282.75
alteryx,103085.33018092105
cognos,102858.84615384616
spreadsheet,99920.15384615384
excel,99670.41392265812
outlook,99199.77517361111
word,98796.57385706018
ssrs,98692.35714285714
spss,98136.26209077382
sharepoint,97664.32301682692
swift,96500.0
powerpoint,96194.74752604167
jquery,94475.0
ms access,94211.9375
planner,93333.33333333333
microsoft teams,93097.0
zoom,91300.0
asp.net,91250.0
laravel,91000.0
symphony,89100.0
drupal,88328.2
crystal,87785.78814338235
sqlite,86000.0
visual basic,84622.5
unity,81666.66666666667
vb.net,80000.0
wire,75000.0
monday.com,68750.0
sass,67500.0
colocation,67500.0
asana,65037.5
trello,50289.1796875
cobol,
firestore,
smartsheet,
